FILE_NAME,CATEGORY,TOTAL_TOKENS(excluding_spaces),TOTAL_SENTENCES,TOTAL_LINES,TOTAL_WORDS,UNIQUE_WORDS
Mushroom-Magic.txt,Agro-enterprises,447,24,12,447,228
Other-mushroom-types.txt,Agro-enterprises,42,2,8,42,32
Oyster-mushroom-production.txt,Agro-enterprises,413,18,35,413,216
Post-Harvest-Handling-Protocol-for-Honey-Broad-Guidelines-for-use-of-FPOs.txt,Agro-enterprises,541,14,58,541,248
Products-from-corn.txt,Agro-enterprises,4239,195,129,4239,1281
Rural-Technologies.txt,Agro-enterprises,1678,85,81,1678,595
Sericulture-in-India.txt,Agro-enterprises,939,35,43,939,406
Silkworm-rearing.txt,Agro-enterprises,1718,77,180,1718,595
Tamarind-Processing-machinery-.txt,Agro-enterprises,750,33,19,750,273
Useful-Resources.txt,Policies-and-Schemes,155,2,20,155,93
Vermicomposting.txt,Agro-enterprises,1101,49,63,1101,478
Wonders-of-Bees-.txt,Agro-enterprises,1527,84,96,1527,617
"A-labour-saving-device-to-cut-sugarcane,-remove-buds.txt",Best-Practices,657,29,34,657,323
A-Unique-water-conservation-experiment-.txt,Best-Practices,142,6,8,142,88
Alternate-Year-Pruning-in-Roses.txt,Best-Practices,273,11,20,273,158
Alternative-farming-practices-from-cotton-to-sorghum.txt,Best-Practices,1222,61,128,1222,518
"Banamali-Das,-an-Integrated-Farmer.txt",Best-Practices,914,49,24,914,393
Basics-of-climate-smart-agriculture.txt,Best-Practices,421,16,25,421,209
Best-Extension-Practices.txt,Best-Practices,1209,52,106,1209,526
Best-practices-in-implementation-of-eNAM.txt,Best-Practices,2895,150,189,2895,885
Best-practices-in-implementation-of-PMFBY-.txt,Best-Practices,4006,154,215,4006,1093
Case-Studies---Agri-enterprises.txt,Best-Practices,3884,221,114,3884,1291
Case-Studies---Animal-Husbandry.txt,Best-Practices,865,40,29,865,375
Case-Studies--Fisheries.txt,Best-Practices,2255,117,142,2255,877
Check-Dam-construction-improves-water-availability.txt,Best-Practices,242,12,18,242,140
Chrysanthemum-Nipping.txt,Best-Practices,357,13,24,357,182
Community-Led-Paddy-Seed-Production---in-------Odisha.txt,Best-Practices,809,34,28,809,316
Community-Managed-Food-Forest.txt,Best-Practices,480,15,7,480,256
Conservation-bench-terracing-for-south-eastern-Rajasthan.txt,Best-Practices,287,13,14,287,163
Conservation-of-uncultivated-foods-by-local-communities.txt,Best-Practices,848,33,23,848,387
Cotton-Stripper.txt,Best-Practices,1243,68,45,1243,577
Cover-Crops-for-mitigating-Climate-Change.txt,Best-Practices,527,22,18,527,220
Crop-Diversification-with-Oil-Palm.txt,Best-Practices,478,17,24,478,219
"Dhanpati-Sapkota,-award-winning-farmer-from-Sikkim.txt",Best-Practices,599,34,17,599,259
Eco-friendly-Management-of-Coconut-Pests.txt,Best-Practices,778,30,18,778,363
Empowering-Farmers-as-Entrepreneurs.txt,Best-Practices,447,24,27,447,224
Ethnoveterinary-practices-in-animal-care.txt,Best-Practices,2866,112,218,2866,848
Excellent-Income-through--100_--Organic-Farming.txt,Best-Practices,706,28,268,706,374
Forest-of-Hope.txt,Best-Practices,514,30,11,514,279
Goldchain-Instead-of-Marital-Yellow-thread.txt,Best-Practices,548,26,55,548,233
Gujarat-Gauseva-Model.txt,Best-Practices,564,21,22,564,293
Herbal-formulation-Kamaal-505.txt,Best-Practices,674,27,56,674,360
Honeybee-and-Crop-Pollination.txt,Best-Practices,2575,126,93,2575,933
Hydrogel-Agriculture-Technology.txt,Best-Practices,1796,67,82,1796,702
Implicit-self-confidence-of-an-old-couple.txt,Best-Practices,1288,67,252,1288,556
Indigenous-technologies-practised-by-farmers.txt,Best-Practices,659,31,30,659,260
Innovative-Sugarcane-Cultivation.txt,Best-Practices,288,13,18,288,169
Integrated-farming-system-for-sustainable-agriculture.txt,Best-Practices,807,31,25,807,323
Intercropping-Onion-with-Cabbage.txt,Best-Practices,215,12,15,215,122
Jeevamrut-through-Drip-Irrigation.txt,Best-Practices,294,13,17,294,157
Jhaar-Karela---Selection-of-Wild-Bitter-Gourd.txt,Best-Practices,316,17,17,316,176
Lifting-hope-from-river.txt,Best-Practices,464,22,7,464,259
Live-and-let-live---The-mantra-of-Jubeda-Bee.txt,Best-Practices,563,31,13,563,295
Low-Cost-Paddy-Thresher.txt,Best-Practices,618,27,35,618,303
Multi-Tree-Climber.txt,Best-Practices,685,28,39,685,345
NPM-comes-handy-to-a-deserted-woman.txt,Best-Practices,391,18,71,391,225
Onion-cum-Coriander-Leaves-Production-Technology.txt,Best-Practices,224,8,19,224,142
Organic-Farming-Systems.txt,Best-Practices,758,27,26,758,358
Paddy-in-Punjab----Sustainable-Water-use.txt,Best-Practices,565,25,23,565,248
Pashu-Sakhi---An-alternative-livestock-extension-approach.txt,Best-Practices,1456,63,42,1456,578
Peach-Based-Farming-System.txt,Best-Practices,304,10,18,304,164
Poosarlapadu-Organic-village-.txt,Best-Practices,413,21,8,413,207
Redefining-pest-management-in-agriculture.txt,Best-Practices,824,42,37,824,360
Relay-Cropping-in-Vegetables-Cultivation.txt,Best-Practices,316,9,21,316,175
Seed-production-of-Pabda-in-the-farmer’s-field.txt,Best-Practices,1038,53,59,1038,497
Self-reliant---economically-and-nutritionally.txt,Best-Practices,1198,26,610,1198,494
Short-Duration-Banana-Ratooning.txt,Best-Practices,418,18,27,418,252
Strip-crop---A-ray-of-hope-for-dry-land-farmers.txt,Best-Practices,999,50,28,999,446
Sunflower-Plant-for-Staking-Tomato.txt,Best-Practices,222,9,19,222,141
System-of-Rice-Intensification-(SRI).txt,Best-Practices,2099,89,177,2099,777
The-Neem-Project.txt,Best-Practices,499,25,27,499,267
Tractor-Driven-Onion-Transplanter.txt,Best-Practices,707,31,37,707,354
Traditional-knowledge-helps-drought-proofing.txt,Best-Practices,1251,65,37,1251,543
Tree-Climber.txt,Best-Practices,770,36,28,770,345
Turmeric-Ginger-Planter.txt,Best-Practices,285,11,45,285,172
Water-for-life-and-livelihood.txt,Best-Practices,357,18,4,357,192
Zero-budget-natural-farming-in-Andhra-Pradesh.txt,Best-Practices,620,23,28,620,292
Zero-tillage-Zero-worries.txt,Best-Practices,747,36,31,747,332
‘Ratti-gadu’-was-called-as-Ratna-Reddy-with-N.P.M..txt,Best-Practices,508,31,21,508,247
Abroma-augusta-.txt,Crop-Production,1117,59,87,1117,486
Acid-lime-crop-in-foothills-of--Arunachal-Pradesh.txt,Crop-Production,948,47,51,948,410
Aconitum-balfourii-.txt,Crop-Production,1722,76,99,1722,618
Aconitum-heterophyllum.txt,Crop-Production,1853,91,80,1853,683
Aegle-marmelos.txt,Crop-Production,806,45,59,806,401
AESA-based-IPM.txt,Crop-Production,3612,184,196,3612,1078
Agro-climatic-zones-in-India.txt,Crop-Production,776,25,58,776,307
Allelobiosis-.txt,Crop-Production,1619,80,73,1619,601
Alpinia-galanga.txt,Crop-Production,1089,52,77,1089,472
Alstonia-scholaris.txt,Crop-Production,1500,66,73,1500,620
Alternate-bearing-in-Apple-and-its-management.txt,Crop-Production,616,24,36,616,285
Alternate-bearing-in-mango-and-its-management.txt,Crop-Production,534,20,25,534,293
Amla-Beneficial-insects.txt,Crop-Production,31,1,17,31,26
Amla-Crop-Stage-Wise-IPM.txt,Crop-Production,1280,50,277,1280,530
Amla-Diseases-.txt,Crop-Production,285,13,46,285,169
Amla-Insect-Pests.txt,Crop-Production,1165,61,151,1165,500
Amla-pests.txt,Crop-Production,273,6,61,273,157
